expected_final_url,origin_url
https://archive.mozilla.org/pub/firefox/candidates/60.0b15-candidates/build1/snap/firefox-60.0b15.snap.checksums,https://queue.taskcluster.net/v1/task/JFj-vckNTQivbhz-1ZWI8A/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b16-candidates/build1/snap/firefox-60.0b16.snap,https://queue.taskcluster.net/v1/task/JXoIm23UQPWZI0FTkcoisg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b16-candidates/build1/snap/firefox-60.0b16.snap.checksums,https://queue.taskcluster.net/v1/task/JXoIm23UQPWZI0FTkcoisg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0-candidates/build1/snap/firefox-60.0.snap,https://queue.taskcluster.net/v1/task/ExqukPnHSLaW5l0F6K2a7w/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0-candidates/build1/snap/firefox-60.0.snap.checksums,https://queue.taskcluster.net/v1/task/ExqukPnHSLaW5l0F6K2a7w/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0-candidates/build2/snap/firefox-60.0.snap,https://queue.taskcluster.net/v1/task/CUJtzGV4SGSgMTRMKfAW3w/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0-candidates/build2/snap/firefox-60.0.snap.checksums,https://queue.taskcluster.net/v1/task/CUJtzGV4SGSgMTRMKfAW3w/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0esr-candidates/build5/snap/firefox-60.0esr.snap,https://queue.taskcluster.net/v1/task/aaYyYAiwSIOu28uM-GmQFA/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0esr-candidates/build5/snap/firefox-60.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/aaYyYAiwSIOu28uM-GmQFA/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0esr-candidates/build6/snap/firefox-60.0esr.snap,https://queue.taskcluster.net/v1/task/KIFuNfbcTVGmj60zsZX0Mg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0esr-candidates/build6/snap/firefox-60.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/KIFuNfbcTVGmj60zsZX0Mg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0.1-candidates/build2/snap/firefox-60.0.1.snap,https://queue.taskcluster.net/v1/task/FwppPUXxTois-02S0lcv3Q/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0.1-candidates/build2/snap/firefox-60.0.1.snap.checksums,https://queue.taskcluster.net/v1/task/FwppPUXxTois-02S0lcv3Q/artifacts/public/build/target.snap.checksums
